,geometry
100,POINT (30.3503167 59.9273325)
101,POINT (30.3434103434292 59.9830545)
102,POINT (30.2889326 59.91703555)
103,POINT (30.2660347597962 59.9864395)
105,POINT (30.2766677 59.9842334)
106,POINT (30.361847498947 59.93987895)
109,POINT (30.0897312 59.737236)
110,POINT (29.9738742 60.0973201)
111,POINT (30.4052014268092 59.7046824)
113,POINT (30.3002527239472 59.96936205)
114,POINT (30.2713210789492 59.9831003)
116,POINT (30.3049735 59.9558655)
117,POINT (30.19139980000001 59.9903936)
118,POINT (30.3002988950737 59.91832245)
119,POINT (30.31542252584789 59.91299245)
120,POINT (30.3700572 59.9382322)
123,POINT (30.2959222560728 59.96419925)
125,POINT (30.26692969648689 59.9715856)
127,POINT (30.3566073 59.9266765)
128,POINT (30.41653437092889 60.01458985)
129,POINT (30.3235168 59.91789590000001)
130,POINT (30.3763936089779 59.9278648)
131,POINT (30.30570223738989 59.9758554)
132,POINT (30.3245016 59.93453470000001)
134,POINT (30.27587485 59.9134375)
135,POINT (30.3279872653136 59.9562287)
137,POINT (30.2615123 59.8967405)
138,POINT (30.3450536 59.94332779999999)
139,POINT (30.3502992037196 59.92250205)
140,POINT (30.3529389 59.9196265)
141,POINT (30.47186145 59.8547702)
143,POINT (30.4789576 59.89349720000001)
144,POINT (30.3479987 59.9387212)
146,POINT (30.3182277 59.95689640000001)
147,POINT (30.3882611199591 59.93085840000001)
148,POINT (30.3614698 59.95665329999999)
149,POINT (30.4744822 59.9063286)
150,POINT (30.2792383960995 59.8459505)
151,POINT (30.48217285 59.95174235)
152,POINT (30.3223209 59.91599870000001)
153,POINT (30.2749513444151 59.95949175)
154,POINT (30.26048909308711 59.8955461)
155,POINT (30.4042848933573 60.04189445)
158,POINT (30.4604484014917 59.91425375)
159,POINT (30.3531381 59.9235043)
160,POINT (30.3584168 59.9423371)
162,POINT (30.3739551 59.9318548)
164,POINT (30.2781014 59.9095591)
168,POINT (30.3875712180673 59.9301682)
169,POINT (30.3279321 59.9574197)
